marker_kind,suggested_hammer_use,tile_id,grid_x,grid_y,hammer_x,hammer_y,hammer_z_hint,source_world_x,source_world_y,zone,terrain,elevation_level,walkable,buildable,primary_entity_type,primary_entity_id,spawn_group,boss_arena,point_of_interest,road,hazard,suggested_action
reference,editor reference marker,W6,22,5,-5312,7488,128,-10624,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
hazard,trigger volume,BO6,66,5,320,7488,384,640,14976,frost_north,mountain,2,0,0,,,,,,,rockfall_trigger,Author as a gameplay trigger or scripted hazard zone.
reference,editor reference marker,CT6,97,5,4288,7488,128,8576,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DE6,108,5,5696,7488,128,11392,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DF6,109,5,5824,7488,128,11648,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DG6,110,5,5952,7488,128,11904,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DH6,111,5,6080,7488,128,12160,14976,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,DK6,114,5,6464,7488,128,12928,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DN6,117,5,6848,7488,128,13696,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DP6,119,5,7104,7488,128,14208,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DQ6,120,5,7232,7488,128,14464,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DS6,122,5,7488,7488,128,14976,14976,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,F7,5,6,-7488,7360,128,-14976,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,G7,6,6,-7360,7360,128,-14720,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,H7,7,6,-7232,7360,128,-14464,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,J7,9,6,-6976,7360,128,-13952,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,K7,10,6,-6848,7360,128,-13696,14720,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,L7,11,6,-6720,7360,128,-13440,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,M7,12,6,-6592,7360,128,-13184,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,N7,13,6,-6464,7360,128,-12928,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,R7,17,6,-5952,7360,128,-11904,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S7,18,6,-5824,7360,128,-11648,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,T7,19,6,-5696,7360,128,-11392,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,U7,20,6,-5568,7360,128,-11136,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,W7,22,6,-5312,7360,128,-10624,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,X7,23,6,-5184,7360,128,-10368,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Y7,24,6,-5056,7360,128,-10112,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,CT7,97,6,4288,7360,128,8576,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
hazard,trigger volume,CZ7,103,6,5056,7360,512,10112,14720,frost_north,mountain,3,0,0,,,,,,,rockfall_trigger,Author as a gameplay trigger or scripted hazard zone.
reference,editor reference marker,DF7,109,6,5824,7360,128,11648,14720,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,DI7,112,6,6208,7360,128,12416,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DL7,115,6,6592,7360,128,13184,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DN7,117,6,6848,7360,128,13696,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DO7,118,6,6976,7360,128,13952,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DP7,119,6,7104,7360,128,14208,14720,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,DS7,122,6,7488,7360,128,14976,14720,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
wildlife_spawner,spawn controller marker,F8,5,7,-7488,7232,128,-14976,14464,frost_north,dense_forest,0,1,1,animal_spawner,bear_den,hostile_elite,,,,,"Use as a spawn-zone source, not a thinker per marker."
reference,editor reference marker,I8,8,7,-7104,7232,128,-14208,14464,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,P8,15,7,-6208,7232,128,-12416,14464,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S8,18,7,-5824,7232,128,-11648,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,T8,19,7,-5696,7232,128,-11392,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,V8,21,7,-5440,7232,128,-10880,14464,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,X8,23,7,-5184,7232,128,-10368,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Y8,24,7,-5056,7232,128,-10112,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
cave_entrance,cave entrance prefab,AV8,47,7,-2112,7232,384,-4224,14464,frost_north,mountain,2,1,0,cave_entrance,cave_47_7,,,,,,"Decide real entrance, mine entrance, quest lock, or decorative cave."
hazard,trigger volume,BI8,60,7,-448,7232,384,-896,14464,frost_north,mountain,2,0,0,,,,,,,rockfall_trigger,Author as a gameplay trigger or scripted hazard zone.
reference,editor reference marker,BJ8,61,7,-320,7232,384,-640,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BK8,62,7,-192,7232,384,-384,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL8,63,7,-64,7232,384,-128,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BM8,64,7,64,7232,384,128,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BN8,65,7,192,7232,384,384,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO8,66,7,320,7232,384,640,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP8,67,7,448,7232,384,896,14464,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,DF8,109,7,5824,7232,128,11648,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DI8,112,7,6208,7232,128,12416,14464,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DN8,117,7,6848,7232,128,13696,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DO8,118,7,6976,7232,128,13952,14464,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DR8,121,7,7360,7232,128,14720,14464,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,G9,6,8,-7360,7104,128,-14720,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S9,18,8,-5824,7104,128,-11648,14208,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,U9,20,8,-5568,7104,128,-11136,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,W9,22,8,-5312,7104,128,-10624,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,BI9,60,8,-448,7104,384,-896,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BJ9,61,8,-320,7104,384,-640,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BK9,62,8,-192,7104,384,-384,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL9,63,8,-64,7104,384,-128,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BM9,64,8,64,7104,384,128,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BN9,65,8,192,7104,384,384,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO9,66,8,320,7104,384,640,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP9,67,8,448,7104,384,896,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BQ9,68,8,576,7104,384,1152,14208,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,CT9,97,8,4288,7104,256,8576,14208,frost_north,dense_forest,1,1,1,tree,,,,,,,Reference only.
wildlife_spawner,spawn controller marker,CU9,98,8,4416,7104,128,8832,14208,frost_north,dense_forest,0,1,1,animal_spawner,wolf_pack,hostile_pack,,,,,"Use as a spawn-zone source, not a thinker per marker."
reference,editor reference marker,DE9,108,8,5696,7104,128,11392,14208,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DH9,111,8,6080,7104,128,12160,14208,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DM9,116,8,6720,7104,128,13440,14208,frost_north,forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,DN9,117,8,6848,7104,128,13696,14208,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DP9,119,8,7104,7104,128,14208,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DR9,121,8,7360,7104,128,14720,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DS9,122,8,7488,7104,128,14976,14208,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
wildlife_spawner,spawn controller marker,DU9,124,8,7744,7104,0,15488,14208,frost_north,shallow_water,-1,1,0,animal_spawner,deer_herd,passive_large,,,,,"Use as a spawn-zone source, not a thinker per marker."
reference,editor reference marker,G10,6,9,-7360,6976,128,-14720,13952,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,H10,7,9,-7232,6976,128,-14464,13952,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,L10,11,9,-6720,6976,128,-13440,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,M10,12,9,-6592,6976,128,-13184,13952,frost_north,grass,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,R10,17,9,-5952,6976,128,-11904,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S10,18,9,-5824,6976,128,-11648,13952,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,T10,19,9,-5696,6976,128,-11392,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,U10,20,9,-5568,6976,128,-11136,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,BH10,59,9,-576,6976,384,-1152,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BI10,60,9,-448,6976,384,-896,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BJ10,61,9,-320,6976,384,-640,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BK10,62,9,-192,6976,384,-384,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL10,63,9,-64,6976,384,-128,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BM10,64,9,64,6976,384,128,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BN10,65,9,192,6976,384,384,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO10,66,9,320,6976,384,640,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP10,67,9,448,6976,384,896,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BQ10,68,9,576,6976,384,1152,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BR10,69,9,704,6976,384,1408,13952,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,CT10,97,9,4288,6976,256,8576,13952,frost_north,forest,1,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,CU10,98,9,4416,6976,256,8832,13952,frost_north,dense_forest,1,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DF10,109,9,5824,6976,128,11648,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DG10,110,9,5952,6976,128,11904,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DH10,111,9,6080,6976,128,12160,13952,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DI10,112,9,6208,6976,128,12416,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DL10,115,9,6592,6976,128,13184,13952,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DR10,121,9,7360,6976,128,14720,13952,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DS10,122,9,7488,6976,128,14976,13952,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,F11,5,10,-7488,6848,128,-14976,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,H11,7,10,-7232,6848,128,-14464,13696,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,M11,12,10,-6592,6848,128,-13184,13696,frost_north,grass,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,Q11,16,10,-6080,6848,128,-12160,13696,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,V11,21,10,-5440,6848,128,-10880,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,W11,22,10,-5312,6848,128,-10624,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,X11,23,10,-5184,6848,128,-10368,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Y11,24,10,-5056,6848,128,-10112,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Z11,25,10,-4928,6848,128,-9856,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
cave_entrance,cave entrance prefab,AN11,39,10,-3136,6848,512,-6272,13696,frost_north,mountain,3,1,0,cave_entrance,cave_39_10,,,,,,"Decide real entrance, mine entrance, quest lock, or decorative cave."
reference,editor reference marker,BH11,59,10,-576,6848,384,-1152,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BI11,60,10,-448,6848,384,-896,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BJ11,61,10,-320,6848,384,-640,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BK11,62,10,-192,6848,384,-384,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL11,63,10,-64,6848,384,-128,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BM11,64,10,64,6848,384,128,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BN11,65,10,192,6848,384,384,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO11,66,10,320,6848,384,640,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP11,67,10,448,6848,384,896,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BQ11,68,10,576,6848,384,1152,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BR11,69,10,704,6848,384,1408,13696,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
hazard,trigger volume,CJ11,87,10,3008,6848,384,6016,13696,frost_north,mountain,2,0,0,,,,,,,rockfall_trigger,Author as a gameplay trigger or scripted hazard zone.
reference,editor reference marker,CU11,98,10,4416,6848,256,8832,13696,frost_north,dense_forest,1,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DF11,109,10,5824,6848,128,11648,13696,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DL11,115,10,6592,6848,128,13184,13696,frost_north,grass,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,DN11,117,10,6848,6848,128,13696,13696,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DR11,121,10,7360,6848,128,14720,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DS11,122,10,7488,6848,128,14976,13696,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,G12,6,11,-7360,6720,128,-14720,13440,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,I12,8,11,-7104,6720,128,-14208,13440,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,N12,13,11,-6464,6720,128,-12928,13440,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,P12,15,11,-6208,6720,128,-12416,13440,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,S12,18,11,-5824,6720,128,-11648,13440,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,X12,23,11,-5184,6720,128,-10368,13440,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Y12,24,11,-5056,6720,128,-10112,13440,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Z12,25,11,-4928,6720,128,-9856,13440,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,BH12,59,11,-576,6720,384,-1152,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BI12,60,11,-448,6720,384,-896,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
hazard,trigger volume,BJ12,61,11,-320,6720,384,-640,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,rockfall_trigger,Author as a gameplay trigger or scripted hazard zone.
reference,editor reference marker,BK12,62,11,-192,6720,384,-384,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL12,63,11,-64,6720,384,-128,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BM12,64,11,64,6720,384,128,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BN12,65,11,192,6720,384,384,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO12,66,11,320,6720,384,640,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP12,67,11,448,6720,384,896,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BQ12,68,11,576,6720,384,1152,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BR12,69,11,704,6720,384,1408,13440,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,CU12,98,11,4416,6720,256,8832,13440,frost_north,forest,1,1,1,tree,,,,,,,Reference only.
cave_entrance,cave entrance prefab,CY12,102,11,4928,6720,512,9856,13440,frost_north,mountain,3,1,0,cave_entrance,cave_102_11,,,,,,"Decide real entrance, mine entrance, quest lock, or decorative cave."
reference,editor reference marker,DD12,107,11,5568,6720,128,11136,13440,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DH12,111,11,6080,6720,128,12160,13440,frost_north,grass,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DR12,121,11,7360,6720,128,14720,13440,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,DS12,122,11,7488,6720,128,14976,13440,frost_north,dense_forest,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,F13,5,12,-7488,6592,128,-14976,13184,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,G13,6,12,-7360,6592,128,-14720,13184,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,I13,8,12,-7104,6592,128,-14208,13184,frost_north,forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,J13,9,12,-6976,6592,128,-13952,13184,frost_north,grass,0,1,1,forage_node,,,,,,,Reference only.
reference,editor reference marker,W13,22,12,-5312,6592,128,-10624,13184,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,Z13,25,12,-4928,6592,128,-9856,13184,frost_north,dense_forest,0,1,1,tree,,,,,,,Reference only.
reference,editor reference marker,BH13,59,12,-576,6592,384,-1152,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BI13,60,12,-448,6592,384,-896,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BJ13,61,12,-320,6592,384,-640,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BK13,62,12,-192,6592,384,-384,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BL13,63,12,-64,6592,384,-128,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
boss_spawner,custom boss spawn marker + trigger volume,BM13,64,12,64,6592,384,128,13184,frost_north,mountain,2,0,0,boss_spawner,frostmaw,world_boss,frostmaw,,,,Create a boss arena floor nearby if this tile is not walkable.
reference,editor reference marker,BN13,65,12,192,6592,384,384,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BO13,66,12,320,6592,384,640,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BP13,67,12,448,6592,384,896,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BQ13,68,12,576,6592,384,1152,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
reference,editor reference marker,BR13,69,12,704,6592,384,1408,13184,frost_north,mountain,2,0,0,,,,frostmaw,,,,Reference only.
